#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Level,S1,S2,S3,S4,S5,PWM,RPM
5,0,0,0,0,1,231,49.20
5,0,0,0,0,1,232,49.41
5,0,0,0,0,1,233,49.62
5,0,0,0,0,1,234,49.84
5,0,0,0,0,1,235,50.05
5,0,0,0,0,1,236,50.26
5,0,0,0,0,1,237,50.48
5,0,0,0,0,1,238,50.69
5,0,0,0,0,1,239,50.90
5,0,0,0,0,1,240,51.12
5,0,0,0,0,1,241,51.33
5,0,0,0,0,1,242,51.54
5,0,0,0,0,1,243,51.75
5,0,0,0,0,1,244,51.97
5,0,0,0,0,1,245,52.18
5,0,0,0,0,1,246,52.39
5,0,0,0,0,1,247,52.61
5,0,0,0,0,1,248,52.82
5,0,0,0,0,1,249,53.03
5,0,0,0,0,1,250,53.25
5,0,0,0,0,1,251,53.46
5,0,0,0,0,1,252,53.67
5,0,0,0,0,1,253,53.88
5,0,0,0,0,1,254,54.10
5,0,0,0,0,1,255,54.31
Pengujian Selesai.
